 0.007355 0.045122 0.028589
 0.730963 0.597903 0.554315
 -0.269033 0.597903 0.879239
 -0.887071 0.597907 0.028589
 -0.269033 0.597903 -0.822060
 0.730963 0.597903 -0.497136
 0.283743 1.492342 0.879239
 -0.716252 1.492342 0.554315
 -0.716252 1.492342 -0.497136
 0.283743 1.492342 -0.822060
 0.901782 1.492338 0.028589
 0.007355 2.045122 0.028589
 -0.155100 0.194468 0.528585
 0.432678 0.194468 0.337601
 0.270224 0.519385 0.837601
 0.858003 0.519386 0.028589
 0.432678 0.194468 -0.280422
 -0.518374 0.194471 0.028589
 -0.680834 0.519386 0.528586
 -0.155100 0.194468 -0.471406
 -0.680834 0.519386 -0.471408
 0.270224 0.519385 -0.780422
 0.958413 1.045122 0.337602
 0.958413 1.045122 -0.280423
 0.007355 1.045122 1.028589
 0.595141 1.045122 0.837606
 -0.943702 1.045122 0.337602
 -0.580430 1.045122 0.837606
 -0.580430 1.045122 -0.780427
 -0.943702 1.045122 -0.280423
 0.595141 1.045122 -0.780427
 0.007355 1.045122 -0.971411
 0.695545 1.570859 0.528586
 -0.255513 1.570860 0.837601
 -0.843292 1.570858 0.028589
 -0.255513 1.570860 -0.780422
 0.695545 1.570859 -0.471408
 0.169811 1.895777 0.528585
 0.533085 1.895774 0.028589
 -0.417967 1.895777 0.337601
 -0.417967 1.895777 -0.280422
 0.169811 1.895777 -0.471406
